age,income,student,credit_rating,buys_computer
Youth,high,no,fair,no
Youth,high,no,excellent,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,low,yes,fair,yes
senior,low,yes,excellent,no
middle,low,yes,excellent,yes
Youth,medium,no,fair,no
Youth,low,yes,fair,yes
senior,medium,yes,fair,yes
Youth,medium,yes,excellent,yes
middle,medium,no,excellent,yes
middle,high,yes,fair,yes
senior,medium,no,excellent,no
middle,high,yes,fair,yes
senior,medium,no,excellent,no
middle,low,yes,excellent,yes
Youth,medium,no,fair,no
Youth,high,no,fair,no
Youth,high,no,excellent,no
senior,low,yes,fair,yes
senior,low,yes,excellent,no
Youth,low,yes,fair,yes
middle,high,no,fair,yes
Youth,medium,yes,excellent,yes
senior,medium,yes,fair,yes
senior,medium,no,fair,yes
middle,medium,no,excellent,yes
